id,category,title,content,tags,is_active,created_at
0a52879e-7a11-4008-adaa-369e9ccbc4a2,Member Inquiries,Holiday Closure Hours & Details,"<p>Hi,</p><p>&nbsp;</p><p>Thank you for reaching out regarding our limited hours and for choosing to spend your holiday season with us! Though services and access will be significantly limited, we will be holding an opening window from&nbsp;<strong>December 27–30 from 3:30 PM to 7:30 PM.</strong>&nbsp;Please find all details for your visit below:</p><p>&nbsp;</p><p>Entry will be available through the alleyway and into the ground floor studio. Doors will remain closed throughout the day. When you arrive on site, please call/ text our concierge at 310-487-0940 and our team will let you in.&nbsp;</p><p>&nbsp;</p><p>The following spaces will be available for use:</p><ul><li><p>Pilates Room</p></li><li><p>Main Gym Floor</p></li><li><p>Recovery Lounge &amp; Bathrooms</p></li></ul><p>&nbsp;&nbsp;&nbsp;</p><p>Reformer Pilates classes with Miwa will be available each day at 4 and 5 PM.&nbsp;<strong><u>To request a spot in class, please&nbsp;reply to this email no later than December 23&nbsp;with your preferred date and time.</u></strong>&nbsp;Classes will&nbsp;not&nbsp;be available for booking through the app and will be filled&nbsp;first come, first serve via email. Please note that we will not be on-site or monitoring email prior to December 27, and&nbsp;same-day class requests cannot be guaranteed due to limited capacity.&nbsp;</p><p>&nbsp;</p><p>Please be advised that&nbsp;construction will be ongoing during all open hours and noise is expected&nbsp;throughout your visit.&nbsp;</p><p>&nbsp;</p><p>We appreciate your understanding as we work through these improvements and thank you for your flexibility during this limited-service period. Please let us know if you have any questions before December 23 and we wish you the happiest of holiday seasons!</p><p>&nbsp;</p><p>Best,</p><p>The Team at HUME</p>","[""closure""]",TRUE,2025-12-19 23:18:10.703278+00
97027403-5f9d-49d9-ac63-339d49ce8e2f,New Member Offers,New Member Offer Follow-Up,"<p>Hi X,</p><p>We're so excited to have you as part of the HUME community! It was great to meet you and share more about what we can offer you as a new member.</p><p><strong>Complimentary Wellness Consultation:</strong><br>We would love to treat you to a coffee or matcha at our rooftop café with our Director of Wellness, Jenna. Jenna can tell you more about how our offerings (training, recovery, specialists, classes, etc.) can meet your specific needs and help create an optimal program for you. To schedule your complimentary wellness consultation, <a target=""_blank"" rel=""noopener noreferrer nofollow"" class=""text-primary underline cursor-pointer"" href=""https://calendly.com/hume-jenna/consult?month=2026-01"">click here</a>.</p><p><strong>Complimentary Equipment Overview:</strong><br>Meet with one of our lead concierges, Dylan, to receive an overview of our machines and equipment. Dylan can walk you through our main gym floor and rooftop and recommend personal trainers based on your needs and interests. To schedule with Dylan, please <a target=""_blank"" rel=""noopener noreferrer nofollow"" class=""text-primary underline cursor-pointer"" href=""https://calendly.com/humela/club-tour-clone?back=1&amp;month=2025-09"">click here</a>.</p><p><strong>$100 Personal Training Session:</strong><br>Book your first personal training session with any of our amazing trainers for only $100. First sessions can be purchased here and booked through our app.</p><p><strong>$65 Stretch &amp; Percussive Therapy Session:</strong><br>Whether you're stiff from sitting all day, recovering from strenuous workout, or just in need of relaxation, stretch therapy helps improve your flexibility, reduces tension, and supports muscle recovery. Book your first session with our therapist, Jenya, for only $65. First sessions can be purchased here and booked through our app.</p><p>Please let us know if you have any questions regarding these offers! Our concierge team is always available for questions at the desk, through email, or through call/text at 213-566-8580.</p><p>We look forward to seeing you again in the space soon!</p><p>Best,</p><p>[Your Name] &amp; The Team at HUME</p>","[""new member"",""offer"",""wellness"",""training"",""stretch""]",TRUE,2025-12-16 00:08:58.99931+00
5c72ac1e-9a00-4581-8db6-7bc5aa32b1ad,Member Inquiries,Late Cancel Class - Fee Required,"<p>Hi X,</p><p>Thank you for letting us know you're unable to make it to class. While we understand that schedules can change, our 12-hour cancellation policy is in place to ensure fair access to classes for all members.</p><p>We're unable to waive the fee at this time. Moving forward, we recommend double-checking your schedule before booking to help avoid late cancellation fees. Please let us know if you have any additional questions.</p><p>Best,</p><p>The Team at HUME</p>","[""class"",""cancel"",""fee"",""habitual""]",TRUE,2025-12-16 00:05:58.383186+00
24b4daf2-8419-422c-b147-d92d783d6f3b,Member Inquiries,Late Cancel Class - Fee Waived,"<p>Hi X,</p><p>Thank you for notifying us that you are unable to make it to class. Please note that our policy includes a $10 fee if canceled less than twelve hours prior to class start. However, we're happy to make a one-time exception and remove you from the class this time.</p><p>We understand life can get busy but we ask that you do your best to only book classes you can make. This allows all members the opportunity to prebook classes. Please let us know if you have any other questions about this or general policies.</p><p>Best,</p><p>The Team at HUME</p>","[""class"",""cancel"",""waived"",""exception""]",TRUE,2025-12-16 00:05:58.383186+00
013d6ac1-181d-4eed-b94e-2c8cb391ee4f,Member Inquiries,Late Cancel Policy Inquiry,"<p>Hi X,</p><p>Thank you for reaching out. Our policy is a $10 fee if cancelling less than 12 hours prior to the start of class. Please let us know if you have any questions or need help navigating the app.</p><p>Best,</p><p>The Team at HUME</p>","[""class"",""cancel"",""policy"",""fee""]",TRUE,2025-12-16 00:05:58.383186+00
7b935b40-57ad-42a7-8c29-809f16fff2a0,Member Inquiries,Membership Cancellation - No Reason Provided,"<p>Hi X,</p><p>Thank you for reaching out! While we'll miss having you at HUME, we're happy to assist. Before we proceed, can you please let us know your reason for cancellation?</p><p>Best,</p><p>The Team at HUME</p>","[""cancel"",""cancellation"",""reason""]",TRUE,2025-12-16 00:05:58.383186+00
402c2741-d069-4f71-8585-cdec1ed5d77b,Member Inquiries,Guest Pass Policy,"<p>Hi X,</p><p>Thank you for reaching out. Members receive six all-access guest passes per year. We are pleased to allow repeat guests, though please note that any individual guest may only visit the space six times per year, including visits with different members.  </p><p>Additional day passes may be purchased at the front desk for $100 each. If you plan to bring a guest to a class, please arrive at least 15 minutes early so they can complete our waiver and registration and check class availability.</p><p>You are welcome to bring up to three guests to the café at any time, and café visits do not count toward guest pass usage.</p><p>Please let us know if you have any additional questions.</p><p>Best,</p><p>The Team at HUME</p>","[""guest"",""pass"",""policy"",""day pass""]",TRUE,2025-12-16 00:06:39.765304+00
a3c6fdd3-b7b1-4827-a874-82c10e6d104d,Member Inquiries,Class Policy for Guests,"<p>Hi X,</p><p>Thank you for reaching out. For HUME guests, classes are on a first come first serve basis and can be booked at the Concierge desk 30 minutes prior to class start time. Please ensure to arrive early enough with your guest so they can register and sign a liability waiver.</p><p><em><mark>[Sentence about whether specified class will or likely will not have space based]</mark></em></p><p>To expedite the registration process, your guest can fill out the registration form here before arriving.</p><p>Best,</p><p>The Team at HUME</p>","[""guest"",""class"",""waiver"",""registration""]",TRUE,2025-12-16 00:06:39.765304+00
b538e55c-b78d-46e2-a2cf-b19503ce7644,Member Outreach,Class Policy for Guests Reminder,"<p>Hi X,</p><p>Thank you for being a valued member of HUME. We're reaching out with a friendly reminder that for HUME guests, classes are on a first come first serve basis and can be booked at the Concierge desk 30 minutes prior to class start time. Please arrive early with your guest so they can register and sign a liability waiver.</p><p>To expedite the registration process, your guest can fill out the registration form here before arriving.</p><p>Best,</p><p>The Team at HUME</p>","[""guest"",""class"",""reminder"",""waiver""]",TRUE,2025-12-16 00:07:00.789462+00
e77f0583-4445-402a-af0a-ded1bc1702cd,Events & Collabs,Reject Partnership Inquiry,"<p>Hi X,</p><p>Thank you for reaching out. We are not bringing on new partners at the moment, but please stay in touch as we may add new partnerships in the future as we evolve and grow.</p><p>Best,</p><p>The Team at HUME</p>","[""partnership"",""reject"",""decline""]",TRUE,2025-12-16 00:08:58.99931+00
