id;report_date;shift_time;staff_name;notes_for_next_shift;member_feedback;membership_cancel_requests;meaningful_conversations;tour_name;tour_followup_completed;facility_issues;busiest_areas;system_issues;management_notes;created_at;updated_at;created_by;arketa_screenshot_url;extracted_checkins;extracted_appointments;extracted_class_signups;notes_target_date;notes_target_shift;resolved;extracted_class_details;extracted_appointment_details;staff_id
67091a29-a747-4a06-9ca4-504a1978d922;2025-11-28;AM;Angela/ Tommy;;;"[PAUSE] Max Nall - 

[PAUSE] Kate McLamb - ";;;false;We have surmised that the steam room door was left open all day yesterday (Thanksgiving) and since its on an automatic timer the locker room was steamy. There are water streak marks on the walls.;"Insanely slow this morning, we had 4 people come in before 8am 
Lots of guests today 
Ladies spa packed 11:30am
";Sold 3 osea lip glosses! Yay ;Sold 3 osea lip glosses! Yay ;2025-11-29 07:38:40.845723+00;2025-11-29 07:43:21.829003+00;;;;;;2025-11-29;AM;true;;;
a08c216d-c313-4cad-a072-9aa86dcad505;2025-11-29;AM;Abbey/ Dennis;;"[{""sentiment"":""negative"",""text"":""Lost on a guest OSEA sale today, she said “its too complicated” since we dont have a payment system and that we should have a tap pay system implemented for those who are non-members and dont have their CCs on hand""},{""sentiment"":""positive"",""text"":""Amazing feedback on the turkey trot from all those who participated! Was a good turnout :)""},{""sentiment"":""negative"",""text"":""Peter complained that the construction was super loud for his 10:30am class - i just told him sorry, but respectfully we cant pause the guys doing work for an hour for his class as they are on a schedule and probably aren’t going to sit around for an hour doing nothing""}]";"[CANCEL] Alex Hu - holiday closure (End Date: 11/29/2025)

[CANCEL] Ki Silver - holiday closure (End Date: 11/29/2025)";;;false;;"main gym floor and stretch area busy from 9:45 -1
";;;2025-12-02 20:27:22.443603+00;2025-12-02 20:30:51.832629+00;;;;;;2025-11-29;AM;true;;;
d598bd54-988d-4b87-8e5e-32dd5129bd69;2025-11-30;AM;Lydia/ Hunter;;"[{""sentiment"":""positive"",""text"":""smooth morning overall""}]";;;;false;;"Main Gym 10:30am
Mens Spa 11:30am
Cardio room 12:15 full
";;;2025-12-02 20:44:48.08963+00;2025-12-02 20:44:48.08963+00;;;;;;;;false;;;
34d85897-307f-42d6-a85b-4ceb1fedcb67;2026-01-16;AM;Tommy, Angela;;[];[CANCEL] Azar Kyi  <azarkeyy@gmail.com> - Moving (End Date: 02/02/2026);;David Aaron Cohen and Ayelet Cohen ;true;;Busy this morning 7am;;;2026-01-16 21:25:07.97238+00;2026-01-16 21:25:07.97238+00;;;;;;;;false;;;
3098f282-a16d-4c34-885b-fa5c011cac5e;2025-12-01;AM;Kat/ Dustin;;"[{""sentiment"":""negative"",""text"":""Arketa is giving private instructors difficulties - ie. not informing them of bookings, of booking changes, or of booking cancellations ""},{""sentiment"":""neutral"",""text"":""need new lost and found protocol""},{""sentiment"":""negative"",""text"":""The hanging plants are looking decrepit in the women’s spa; Gunk on the window inside the gate of the cardio room ""},{""sentiment"":""negative"",""text"":""Complaints about not being able to pause at will, not being able to get prorated fee for dec due to closure - see emails for details but all have be addressed""}]";"[PAUSE] Abby Brian - pregnancy

[CANCEL] Christian Wood - travel - told pause policy";;;false;"Jessalyn Hill asked again about getting fractional dumbbell weights for the gym
";"Main gym floor busy 8am 
";;;2025-12-02 21:00:20.849442+00;2025-12-02 21:00:20.849442+00;;;;;;;;false;;;
23952c3c-1d2f-411f-a81d-d73db733b1cc;2026-01-25;AM;Hunter Johnson;FOH/BOH may need to restock wipes in reformer studio;;;;;false;;;;;2026-01-25 20:40:43.960499+00;2026-01-25 20:40:43.960499+00;;;;;;2026-01-25;PM;false;;;79b569b8-2e63-484c-bb2e-4ec1f4712c47
861ac789-fa07-49ad-bbe0-dd72336aa058;2025-12-02;AM;Kat, Tommy;;"[{""sentiment"":""negative"",""text"":""Carlos is cold outside. Can we get him a portable heater?""},{""sentiment"":""negative"",""text"":""Joe Anello unhappy about closure (Roger emailed)""}]";[CANCEL] Amanda Jones - cancelled application for a move ;;Nyanda Lightheart - toured by Kat, she was very nice and works in the wellness space - was asking about diversity in the space;true;"8am the lights on the entire first floor turned off for a minute but the cardio machines were still working; 10:05am the lights on the first floor went out again but stayed off for longer 
";usual busy periods;;;2025-12-03 01:18:28.314742+00;2025-12-03 01:18:28.314742+00;;;;;;;;false;;;
a6043a02-7bb4-49a7-a6f7-63d1f662bc48;2026-01-30;AM;Tommy, Angela;Waiting for a reply from Erin A. about booking hbot for Mastercard person Eric R. tomorrow. Pls book and reply if she reaches out ;;;;;false;;;;;2026-01-30 21:37:17.002529+00;2026-01-30 21:37:17.002529+00;;;;;;2026-01-30;PM;false;;;
50f1ac63-2e30-4a41-9a88-2cb93207420d;2025-11-23;AM;management;;[];;;;false;;;;;2025-12-03 21:35:30.06645+00;2025-12-03 23:02:20.17007+00;;;;;;2025-12-03;AM;true;;;
55b6ca3c-70ed-4b72-b736-01a85de1beaa;2025-11-21;AM;management;;[];;;;false;"A window is broken
The floors are too wet
The locker smells bad";;;;2025-12-03 23:02:51.486547+00;2025-12-03 23:02:51.486547+00;;;;;;;;false;;;
